SITE_TYPE,SITE_NUMBER,SITE_ID,FENCED,LOCATION,DATE,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,CORNER_POINT,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,SLOPE_PERCENT,ASPECT,ELEVATION_M,COMMENTS,BURNED,BURN_YEAR
WC,40,WC40,Y,Beaver_Meadows,2008-11-06T00:00:00Z,short_young,wet_meadow,Grass,NA,None,Center,448851,4469351,5,NA,NA,2549,NA,NA,NA
WC,40,WC40,NA,NA,NA,NA,NA,NA,NA,NA,N,448850,4469350,NA,NA,NA,NA,NA,NA,NA
WC,40,WC40,NA,NA,NA,NA,NA,NA,NA,NA,E,448850,4469348,NA,NA,NA,NA,NA,NA,NA
WC,40,WC40,NA,NA,NA,NA,NA,NA,NA,NA,S,448848,4469349,NA,NA,NA,NA,NA,NA,NA
WC,40,WC40,NA,NA,NA,NA,NA,NA,NA,NA,W,448847,4469353,NA,NA,NA,NA,NA,NA,NA
WC,41,WC41,Y,Upper_Beaver_Meadows,2008-11-06T00:00:00Z,short_young,riparian,Carex,Grass,None,Center,449194,4468961,5,15,NA,2539,NA,NA,NA
WC,41,WC41,NA,NA,NA,NA,NA,NA,NA,NA,N,449193,4468962,NA,NA,NA,NA,NA,NA,NA
WC,41,WC41,NA,NA,NA,NA,NA,NA,NA,NA,E,449197,4468960,NA,NA,NA,NA,NA,NA,NA
WC,41,WC41,NA,NA,NA,NA,NA,NA,NA,NA,S,449199,4468953,NA,NA,NA,NA,NA,NA,NA
WC,41,WC41,NA,NA,NA,NA,NA,NA,NA,NA,W,449194,4468955,NA,NA,NA,NA,NA,NA,NA
WC,42,WC42,Y,Beaver_Meadows,2008-11-06T00:00:00Z,short_young_short_old,dry_meadow,NA,NA,NA,Center,449604,4468711,5,NA,NA,2529,NA,NA,NA
WC,42,WC42,NA,NA,NA,NA,NA,NA,NA,NA,N,449606,4468715,NA,NA,NA,NA,NA,NA,NA
WC,42,WC42,NA,NA,NA,NA,NA,NA,NA,NA,E,449607,4468712,NA,NA,NA,NA,NA,NA,NA
WC,42,WC42,NA,NA,NA,NA,NA,NA,NA,NA,S,449603,4468712,NA,NA,NA,NA,NA,NA,NA
WC,42,WC42,NA,NA,NA,NA,NA,NA,NA,NA,W,449602,4468714,NA,NA,NA,NA,NA,NA,NA
WC,43,WC43,N,Beaver_Meadows,2009-09-27T00:00:00Z,intermediate_tall,dry_meadow,Cirsium_arvense,NA,None,Center,449470,4468783,4,NA,NA,NA,"Wet,_has_nearby_willow,_but_none_in_plot",NA,NA
WC,43,WC43,NA,NA,NA,NA,NA,NA,NA,NA,N,449471,4468786,NA,NA,NA,NA,NA,NA,NA
WC,43,WC43,NA,NA,NA,NA,NA,NA,NA,NA,E,449474,4468786,NA,NA,NA,NA,NA,NA,NA
WC,43,WC43,NA,NA,NA,NA,NA,NA,NA,NA,S,449472,4468780,NA,NA,NA,NA,NA,NA,NA
WC,43,WC43,NA,NA,NA,NA,NA,NA,NA,NA,W,449467,4468781,NA,NA,NA,NA,NA,NA,NA
WC,44,WC44,N,Beaver_Meadows,2008-11-07T00:00:00Z,short_young,dry_meadow,Grass,NA,None,Center,448911,4469160,NA,NA,NA,2544,NA,NA,NA
WC,44,WC44,NA,NA,NA,NA,NA,NA,NA,NA,N,448912,4469164,NA,NA,NA,NA,NA,NA,NA
WC,44,WC44,NA,NA,NA,NA,NA,NA,NA,NA,E,448913,4469157,NA,NA,NA,NA,NA,NA,NA
WC,44,WC44,NA,NA,NA,NA,NA,NA,NA,NA,S,448910,4469156,NA,NA,NA,NA,NA,NA,NA
WC,44,WC44,NA,NA,NA,NA,NA,NA,NA,NA,W,448906,4469159,NA,NA,NA,NA,NA,NA,NA
WC,45,WC45,N,Horseshoe_Park,2009-09-27T00:00:00Z,short_young,riparian,NA,NA,None,Center,446267,4473001,6,NA,NA,NA,NA,NA,NA
WC,45,WC45,NA,NA,NA,NA,NA,NA,NA,NA,N,446263,4473e3,NA,NA,NA,NA,NA,NA,NA
WC,45,WC45,NA,NA,NA,NA,NA,NA,NA,NA,E,446267,4473e3,NA,NA,NA,NA,NA,NA,NA
WC,45,WC45,NA,NA,NA,NA,NA,NA,NA,NA,S,446268,4472995,NA,NA,NA,NA,NA,NA,NA
WC,45,WC45,NA,NA,NA,NA,NA,NA,NA,NA,W,446263,4473001,NA,NA,NA,NA,NA,NA,NA
WC,46,WC46,N,Horseshoe_Park,2009-09-12T00:00:00Z,tall,marsh,Carex_sp.,Phleum_pratense,None,Center,447046,4472274,5,NA,NA,NA,NA,NA,NA
WC,46,WC46,NA,NA,NA,NA,NA,NA,NA,NA,N,447045,4472276,NA,NA,NA,NA,NA,NA,NA
WC,46,WC46,NA,NA,NA,NA,NA,NA,NA,NA,E,447045,4472276,NA,NA,NA,NA,NA,NA,NA
WC,46,WC46,NA,NA,NA,NA,NA,NA,NA,NA,S,447045,4472273,NA,NA,NA,NA,NA,NA,NA
WC,46,WC46,NA,NA,NA,NA,NA,NA,NA,NA,W,447042,4472272,NA,NA,NA,NA,NA,NA,NA
WC,47,WC47,N,Horseshoe_Park,2009-09-12T00:00:00Z,tall,wet_meadow,Carex_sp.,Phleum_pratense,None,Center,447382,4472314,5,NA,NA,NA,NA,NA,NA
WC,47,WC47,NA,NA,NA,NA,NA,NA,NA,NA,N,447380,4472320,NA,NA,NA,NA,NA,NA,NA
WC,47,WC47,NA,NA,NA,NA,NA,NA,NA,NA,E,447384,4472313,NA,NA,NA,NA,NA,NA,NA
WC,47,WC47,NA,NA,NA,NA,NA,NA,NA,NA,S,447382,4472319,NA,NA,NA,NA,NA,NA,NA
WC,47,WC47,NA,NA,NA,NA,NA,NA,NA,NA,W,447378,4472315,NA,NA,NA,NA,NA,NA,NA
WC,48,WC48,N,Horseshoe_Park,2009-09-12T00:00:00Z,intermediate,riparian,Phleum_pratense,NA,None,Center,447440,4472271,6,NA,NA,NA,NA,NA,NA
WC,48,WC48,NA,NA,NA,NA,NA,NA,NA,NA,N,447439,4472278,NA,NA,NA,NA,NA,NA,NA
WC,48,WC48,NA,NA,NA,NA,NA,NA,NA,NA,E,447440,4472270,NA,NA,NA,NA,NA,NA,NA
WC,48,WC48,NA,NA,NA,NA,NA,NA,NA,NA,S,447439,4472268,NA,NA,NA,NA,NA,NA,NA
WC,48,WC48,NA,NA,NA,NA,NA,NA,NA,NA,W,447436,4472268,NA,NA,NA,NA,NA,NA,NA
WC,49,WC49,Y,Beaver_Meadows,2009-08-29T00:00:00Z,tall,wet_meadow,Calamagrostis_canadensis,Cirsium_arvense,None,Center,449266,4468995,6,0,F,2540,NA,NA,NA
WC,49,WC49,NA,NA,NA,NA,NA,NA,NA,NA,N,449265,4468997,NA,NA,NA,NA,NA,NA,NA
WC,49,WC49,NA,NA,NA,NA,NA,NA,NA,NA,E,449269,4468994,NA,NA,NA,NA,NA,NA,NA
WC,49,WC49,NA,NA,NA,NA,NA,NA,NA,NA,S,449263,4468988,NA,NA,NA,NA,NA,NA,NA
WC,49,WC49,NA,NA,NA,NA,NA,NA,NA,NA,W,449267,4468986,NA,NA,NA,NA,NA,NA,NA
WC,50,WC50,Y,Beaver_Meadows,2009-09-27T00:00:00Z,tall,wet_meadow,Carex,NA,None,Center,449247,4468995,4,NA,NA,NA,Only_one_plant_fell_into_plot,NA,NA
WC,50,WC50,NA,NA,NA,NA,NA,NA,NA,NA,N,449248,4468997,NA,NA,NA,NA,NA,NA,NA
WC,50,WC50,NA,NA,NA,NA,NA,NA,NA,NA,E,449251,4468995,NA,NA,NA,NA,NA,NA,NA
WC,50,WC50,NA,NA,NA,NA,NA,NA,NA,NA,S,449252,4468992,NA,NA,NA,NA,NA,NA,NA
WC,50,WC50,NA,NA,NA,NA,NA,NA,NA,NA,W,449246,4468995,NA,NA,NA,NA,NA,NA,NA
WC,51,WC51,N,Lower_Beaver_Meadows,2009-08-31T00:00:00Z,short_old,dry_meadow,Thermopsis_divaricarpa,Cirsium_arvense,None,N,449848,4468691,NA,0,F,2519,"Dry_site,_more_willow_in_area_than_in_plot,_but_still_fairly_sparse",NA,NA
WC,51,WC51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WC,51,WC51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WC,51,WC51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WC,51,WC51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WC,52,WC52,N,Moraine_Park,2009-09-15T00:00:00Z,tall,riparian,Phleum_pratense,Juncus_balticus,None,Center,447143,4467368,1.2,NA,NA,NA,N_and_W_corners_embedded_in_willow_thickets,Y,2012
WC,52,WC52,NA,NA,NA,NA,NA,NA,NA,NA,N,447144,4467838,NA,NA,NA,NA,NA,NA,NA
WC,52,WC52,NA,NA,NA,NA,NA,NA,NA,NA,E,447145,4467368,NA,NA,NA,NA,NA,NA,NA
WC,52,WC52,NA,NA,NA,NA,NA,NA,NA,NA,S,447143,4467366,NA,NA,NA,NA,NA,NA,NA
WC,52,WC52,NA,NA,NA,NA,NA,NA,NA,NA,W,447139,4467368,NA,NA,NA,NA,NA,NA,NA
WC,53,WC53,Y,West_end_Moraine_Park,2009-09-16T00:00:00Z,short_old,wet_meadow,Calamagrostis_canadensis,Carex,cuttings,Center,448083,4467340,2.1,NA,NA,NA,Beaver_cuttings_in_stream_at_old_exclosure_~100_m_w_of_location,Y,2012
WC,53,WC53,NA,NA,NA,NA,NA,NA,NA,NA,N,448084,4467340,NA,NA,NA,NA,NA,NA,NA
WC,53,WC53,NA,NA,NA,NA,NA,NA,NA,NA,E,448086,4467339,NA,NA,NA,NA,NA,NA,NA
WC,53,WC53,NA,NA,NA,NA,NA,NA,NA,NA,S,448084,4467336,NA,NA,NA,NA,NA,NA,NA
WC,53,WC53,NA,NA,NA,NA,NA,NA,NA,NA,W,448080,4467339,NA,NA,NA,NA,NA,NA,NA
WC,54,WC54,N,Cub_Lake_Trail_Moraine_Park,2009-09-15T00:00:00Z,short_old,wet_meadow,Calamagrostis_canadensis,Carex,None,Center,447108,4466865,NA,NA,NA,NA,NA,Y,2012
WC,54,WC54,NA,NA,NA,NA,NA,NA,NA,NA,N,447108,4466866,NA,NA,NA,NA,NA,NA,NA
WC,54,WC54,NA,NA,NA,NA,NA,NA,NA,NA,E,447109,4466865,NA,NA,NA,NA,NA,NA,NA
WC,54,WC54,NA,NA,NA,NA,NA,NA,NA,NA,S,447108,4466861,NA,NA,NA,NA,NA,NA,NA
WC,54,WC54,NA,NA,NA,NA,NA,NA,NA,NA,W,447105,4466863,NA,NA,NA,NA,NA,NA,NA
WC,55,WC55,N,Moraine_Park_SW,2009-09-16T00:00:00Z,NA,wet_meadow,Carex,NA,None,Center,448615,4466623,1.4,NA,NA,NA,NA,Y,2012
WC,55,WC55,NA,NA,NA,NA,NA,NA,NA,NA,N,448616,4466626,NA,NA,NA,NA,NA,NA,NA
WC,55,WC55,NA,NA,NA,NA,NA,NA,NA,NA,E,448620,4466624,NA,NA,NA,NA,NA,NA,NA
WC,55,WC55,NA,NA,NA,NA,NA,NA,NA,NA,S,448616,4466622,NA,NA,NA,NA,NA,NA,NA
WC,55,WC55,NA,NA,NA,NA,NA,NA,NA,NA,W,448615,4466624,NA,NA,NA,NA,NA,NA,NA
WC,56,WC56,P,"Moraine_Park,_west_side,_access_from_Kaley_Rd.",2009-09-22T00:00:00Z,sapling,wet_meadow,Calamagrostis_canadensis,NA,None,Center,448929,4466764,1.7,NA,NA,NA,NA,Y,2012
WC,56,WC56,NA,NA,NA,NA,NA,NA,NA,NA,N,448929,4466768,NA,NA,NA,NA,NA,NA,NA
WC,56,WC56,NA,NA,NA,NA,NA,NA,NA,NA,E,448932,4466764,NA,NA,NA,NA,NA,NA,NA
WC,56,WC56,NA,NA,NA,NA,NA,NA,NA,NA,S,448929,4466762,NA,NA,NA,NA,NA,NA,NA
WC,56,WC56,NA,NA,NA,NA,NA,NA,NA,NA,W,448929,4466766,NA,NA,NA,NA,NA,NA,NA
WC,57,WC57,N,Moraine_Park_adjacent_to_N_channel_of_Big_Thompson,2009-09-14T00:00:00Z,short_young,wet_meadow,Phleum_pratense,Juncus_balticus,None,Center,450025,4467191,1.1,NA,NA,NA,NA,Y,2012
WC,57,WC57,NA,NA,NA,NA,NA,NA,NA,NA,N,450027,4467191,NA,NA,NA,NA,NA,NA,NA
WC,57,WC57,NA,NA,NA,NA,NA,NA,NA,NA,E,450024,4467188,NA,NA,NA,NA,NA,NA,NA
WC,57,WC57,NA,NA,NA,NA,NA,NA,NA,NA,S,450027,4467189,NA,NA,NA,NA,NA,NA,NA
WC,57,WC57,NA,NA,NA,NA,NA,NA,NA,NA,W,450026,4467194,NA,NA,NA,NA,NA,NA,NA
WNC,1,WNC1,N,Cow_Creek,2008-09-18T00:00:00Z,tall,riparian,NA,NA,NA,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA
WNC,1,WNC1,NA,NA,NA,NA,NA,NA,NA,NA,N,457031,4475719,NA,NA,NA,NA,NA,NA,NA
WNC,1,WNC1,NA,NA,NA,NA,NA,NA,NA,NA,E,457036,4475715,NA,NA,NA,NA,NA,NA,NA
WNC,1,WNC1,NA,NA,NA,NA,NA,NA,NA,NA,S,457033,4475713,NA,NA,NA,NA,NA,NA,NA
WNC,1,WNC1,NA,NA,NA,NA,NA,NA,NA,NA,W,457030,4475715,NA,NA,NA,NA,NA,NA,NA
WNC,2,WNC2,N,Cow_Creek,2008-09-18T00:00:00Z,tall,riparian,NA,NA,NA,Center,NA,NA,NA,NA,NA,NA,NA,NA,NA
WNC,2,WNC2,NA,NA,NA,NA,NA,NA,NA,NA,N,457086,4475724,NA,NA,NA,NA,NA,NA,NA
WNC,2,WNC2,NA,NA,NA,NA,NA,NA,NA,NA,E,457089,4475719,NA,NA,NA,NA,NA,NA,NA
WNC,2,WNC2,NA,NA,NA,NA,NA,NA,NA,NA,S,457086,4475717,NA,NA,NA,NA,NA,NA,NA
WNC,2,WNC2,NA,NA,NA,NA,NA,NA,NA,NA,W,457084,4475718,NA,NA,NA,NA,NA,NA,NA
WNC,3,WNC3,N,Hallowell_Park,2008-07-22T00:00:00Z,tall,riparian,Graminoids,NA,None,Center,448812,4465821,6,0,F,2553,NA,NA,NA
WNC,3,WNC3,NA,NA,NA,NA,NA,NA,NA,NA,N,448809,4465823,NA,NA,NA,NA,NA,NA,NA
WNC,3,WNC3,NA,NA,NA,NA,NA,NA,NA,NA,E,448808,4465821,NA,NA,NA,NA,NA,NA,NA
WNC,3,WNC3,NA,NA,NA,NA,NA,NA,NA,NA,S,448806,4465821,NA,NA,NA,NA,NA,NA,NA
WNC,3,WNC3,NA,NA,NA,NA,NA,NA,NA,NA,W,448804,4465823,NA,NA,NA,NA,NA,NA,NA
WNC,4,WNC4,N,Hallowell_Park,2008-07-24T00:00:00Z,tall,riparian,Thermopsis_divaricarpa,NA,Dam/Foodcache/cuttings,Center,448553,4465608,6,0,F,2558,NA,NA,NA
WNC,4,WNC4,NA,NA,NA,NA,NA,NA,NA,NA,N,448552,4465610,NA,NA,NA,NA,NA,NA,NA
WNC,4,WNC4,NA,NA,NA,NA,NA,NA,NA,NA,E,448553,4465607,NA,NA,NA,NA,NA,NA,NA
WNC,4,WNC4,NA,NA,NA,NA,NA,NA,NA,NA,S,448550,4465602,NA,NA,NA,NA,NA,NA,NA
WNC,4,WNC4,NA,NA,NA,NA,NA,NA,NA,NA,W,448548,4465607,NA,NA,NA,NA,NA,NA,NA
WNC,5,WNC5,N,Hallowell_Park,2008-07-24T00:00:00Z,tall,marsh,Carex,NA,oldcuttings,Center,448061,4465585,0,0,F,2556,NA,NA,NA
WNC,5,WNC5,NA,NA,NA,NA,NA,NA,NA,NA,N,448060,4465586,NA,NA,NA,NA,NA,NA,NA
WNC,5,WNC5,NA,NA,NA,NA,NA,NA,NA,NA,E,448062,4465586,NA,NA,NA,NA,NA,NA,NA
WNC,5,WNC5,NA,NA,NA,NA,NA,NA,NA,NA,S,448058,4465583,NA,NA,NA,NA,NA,NA,NA
WNC,5,WNC5,NA,NA,NA,NA,NA,NA,NA,NA,W,448060,4465587,NA,NA,NA,NA,NA,NA,NA
WNC,6,WNC6,N,Hallowell_Park,2008-07-25T00:00:00Z,tall,riparian,Carex,NA,dam/cuttings,Center,448098,4465438,5,0,F,2571,NA,NA,NA
WNC,6,WNC6,NA,NA,NA,NA,NA,NA,NA,NA,N,448095,4465441,NA,NA,NA,NA,NA,NA,NA
WNC,6,WNC6,NA,NA,NA,NA,NA,NA,NA,NA,E,448101,4465436,NA,NA,NA,NA,NA,NA,NA
WNC,6,WNC6,NA,NA,NA,NA,NA,NA,NA,NA,S,448098,4465435,NA,NA,NA,NA,NA,NA,NA
WNC,6,WNC6,NA,NA,NA,NA,NA,NA,NA,NA,W,448094,4465438,NA,NA,NA,NA,NA,NA,NA
WNC,7,WNC7,N,Hidden_Valley,2008-08-06T00:00:00Z,tall,wet_meadow,Carex,NA,None,Center,445193,4472324,6,0,F,2816,plants_in_plot_in_low_growth_area,NA,NA
WNC,7,WNC7,NA,NA,NA,NA,NA,NA,NA,NA,N,445193,4472329,NA,NA,NA,NA,very_difficult_to_distinguish_individuals,NA,NA
WNC,7,WNC7,NA,NA,NA,NA,NA,NA,NA,NA,E,445193,4472328,NA,NA,NA,NA,NA,NA,NA
WNC,7,WNC7,NA,NA,NA,NA,NA,NA,NA,NA,S,445191,4472325,NA,NA,NA,NA,NA,NA,NA
WNC,7,WNC7,NA,NA,NA,NA,NA,NA,NA,NA,W,445191,4472327,NA,NA,NA,NA,NA,NA,NA
WNC,8,WNC8,N,Hidden_Valley,2008-08-04T00:00:00Z,tall,marsh,Carex,Grass,None,Center,445184,4472485,5,0,F,2808,NA,NA,NA
WNC,8,WNC8,NA,NA,NA,NA,NA,NA,NA,NA,N,445186,4472481,NA,NA,NA,NA,NA,NA,NA
WNC,8,WNC8,NA,NA,NA,NA,NA,NA,NA,NA,E,445189,4472470,NA,NA,NA,NA,NA,NA,NA
WNC,8,WNC8,NA,NA,NA,NA,NA,NA,NA,NA,S,445184,4472464,NA,NA,NA,NA,NA,NA,NA
WNC,8,WNC8,NA,NA,NA,NA,NA,NA,NA,NA,W,445184,4472471,NA,NA,NA,NA,NA,NA,NA
WNC,9,WNC9,N,Hidden_Valley,2008-08-07T00:00:00Z,intermediate,marsh_riparian,Carex,NA,None,Center,NA,NA,6,0,F,2793,NA,NA,NA
WNC,9,WNC9,NA,NA,NA,NA,NA,NA,NA,NA,N,445499,4472323,NA,NA,NA,NA,NA,NA,NA
WNC,9,WNC9,NA,NA,NA,NA,NA,NA,NA,NA,E,445504,4472320,NA,NA,NA,NA,NA,NA,NA
WNC,9,WNC9,NA,NA,NA,NA,NA,NA,NA,NA,S,445508,4472318,NA,NA,NA,NA,NA,NA,NA
WNC,9,WNC9,NA,NA,NA,NA,NA,NA,NA,NA,W,445495,4472323,NA,NA,NA,NA,NA,NA,NA
WNC,10,WNC10,N,Hidden_Valley,2008-08-07T00:00:00Z,intermediate,marsh_riparian,Carex,NA,None,Center,445632,4472306,7,0,F,2813,"borders_river_E,N",NA,NA
WNC,10,WNC10,NA,NA,NA,NA,NA,NA,NA,NA,N,445617,4472303,NA,NA,NA,NA,"possible_hybrids,_toothed_planifolias",NA,NA
WNC,10,WNC10,NA,NA,NA,NA,NA,NA,NA,NA,E,445629,4472302,NA,NA,NA,NA,NA,NA,NA
WNC,10,WNC10,NA,NA,NA,NA,NA,NA,NA,NA,S,445620,4472299,NA,NA,NA,NA,NA,NA,NA
WNC,10,WNC10,NA,NA,NA,NA,NA,NA,NA,NA,W,445616,4472301,NA,NA,NA,NA,NA,NA,NA
WNC,11,WNC11,N,Cow_Creek,2008-08-14T00:00:00Z,short_young_short_old,riparian,Carex,Cirsium_,cuttings,Center,458096,4475972,5,0,F,2376,NA,NA,NA
WNC,11,WNC11,NA,NA,NA,NA,NA,NA,NA,NA,N,458097,4475974,NA,NA,NA,NA,NA,NA,NA
WNC,11,WNC11,NA,NA,NA,NA,NA,NA,NA,NA,E,458095,4475975,NA,NA,NA,NA,NA,NA,NA
WNC,11,WNC11,NA,NA,NA,NA,NA,NA,NA,NA,S,458095,4475970,NA,NA,NA,NA,NA,NA,NA
WNC,11,WNC11,NA,NA,NA,NA,NA,NA,NA,NA,W,458095,4475970,NA,NA,NA,NA,NA,NA,NA
WNC,12,WNC12,N,Cow_Creek,2008-08-14T00:00:00Z,intermediate_tall,riparian,Carex,NA,Dam/Foodcache/cuttings,Center,457356,4475696,5,0,F,2399,plot_is_not_representative_of_dominant_height_class,NA,NA
WNC,12,WNC12,NA,NA,NA,NA,NA,NA,NA,NA,N,457359,4475695,NA,NA,NA,NA,hard_to_distinguish_individuals,NA,NA
WNC,12,WNC12,NA,NA,NA,NA,NA,NA,NA,NA,E,457360,4475698,NA,NA,NA,NA,NA,NA,NA
WNC,12,WNC12,NA,NA,NA,NA,NA,NA,NA,NA,S,457356,4475701,NA,NA,NA,NA,NA,NA,NA
WNC,12,WNC12,NA,NA,NA,NA,NA,NA,NA,NA,W,457355,4475699,NA,NA,NA,NA,NA,NA,NA
WNC,13,WNC13,N,Hallowell_Park,2008-08-19T00:00:00Z,tall,riparian,Carex,NA,Dam/Foodcache/cuttings/tracks/scat/sighting,Center,448224,4465544,4,NA,NA,2562,lots_of_beaver_activity,NA,NA
WNC,13,WNC13,NA,NA,NA,NA,NA,NA,NA,NA,N,448224,4465547,NA,NA,NA,NA,NA,NA,NA
WNC,13,WNC13,NA,NA,NA,NA,NA,NA,NA,NA,E,448225,4465542,NA,NA,NA,NA,NA,NA,NA
WNC,13,WNC13,NA,NA,NA,NA,NA,NA,NA,NA,S,448221,4465543,NA,NA,NA,NA,NA,NA,NA
WNC,13,WNC13,NA,NA,NA,NA,NA,NA,NA,NA,W,448219,4465547,NA,NA,NA,NA,NA,NA,NA
WNC,14,WNC14,N,Hallowell_Park,2008-08-18T00:00:00Z,tall,wet_meadow,Carex,NA,None,Center,448442,4465546,5,0,F,2560,NA,NA,NA
WNC,14,WNC14,NA,NA,NA,NA,NA,NA,NA,NA,N,448444,4465548,NA,NA,NA,NA,NA,NA,NA
WNC,14,WNC14,NA,NA,NA,NA,NA,NA,NA,NA,E,448445,4465545,NA,NA,NA,NA,NA,NA,NA
WNC,14,WNC14,NA,NA,NA,NA,NA,NA,NA,NA,S,448443,4465544,NA,NA,NA,NA,NA,NA,NA
WNC,14,WNC14,NA,NA,NA,NA,NA,NA,NA,NA,W,448439,4465546,NA,NA,NA,NA,NA,NA,NA
WNC,15,WNC15,N,Hallowell_Park,2008-08-18T00:00:00Z,short_young,dry_meadow,Phleum_pratense,Poa_pratensis,None,Center,448457,4465490,7,0,F,2560,plot_is_on_edge_of_willow_community,NA,NA
WNC,15,WNC15,NA,NA,NA,NA,NA,NA,NA,NA,N,448459,4465490,NA,NA,NA,NA,NA,NA,NA
WNC,15,WNC15,NA,NA,NA,NA,NA,NA,NA,NA,E,448460,4465490,NA,NA,NA,NA,NA,NA,NA
WNC,15,WNC15,NA,NA,NA,NA,NA,NA,NA,NA,S,448456,4465483,NA,NA,NA,NA,NA,NA,NA
WNC,15,WNC15,NA,NA,NA,NA,NA,NA,NA,NA,W,448453,4465490,NA,NA,NA,NA,NA,NA,NA
WNC,16,WNC16,N,Hallowell_Park,2008-08-19T00:00:00Z,tall,riparian,Carex,NA,Dam/Foodcache/cuttings/tracks/scat,Center,448247,4465522,4,0,F,2563,NA,NA,NA
WNC,16,WNC16,NA,NA,NA,NA,NA,NA,NA,NA,N,448253,4465528,NA,NA,NA,NA,NA,NA,NA
WNC,16,WNC16,NA,NA,NA,NA,NA,NA,NA,NA,E,448255,4465525,NA,NA,NA,NA,NA,NA,NA
WNC,16,WNC16,NA,NA,NA,NA,NA,NA,NA,NA,S,448253,4465521,NA,NA,NA,NA,NA,NA,NA
WNC,16,WNC16,NA,NA,NA,NA,NA,NA,NA,NA,W,448249,4465525,NA,NA,NA,NA,NA,NA,NA
WNC,17,WNC17,N,Hidden_Valley,2008-08-19T00:00:00Z,sapling,riparian,Carex,NA,None,Center,444421,4471720,5,12,SE,2870,no_willow_present_in_plot,NA,NA
WNC,17,WNC17,NA,NA,NA,NA,NA,NA,NA,NA,N,444418,4471722,NA,NA,NA,NA,NA,NA,NA
WNC,17,WNC17,NA,NA,NA,NA,NA,NA,NA,NA,E,444422,4471719,NA,NA,NA,NA,NA,NA,NA
WNC,17,WNC17,NA,NA,NA,NA,NA,NA,NA,NA,S,444419,4471713,NA,NA,NA,NA,NA,NA,NA
WNC,17,WNC17,NA,NA,NA,NA,NA,NA,NA,NA,W,444416,4471717,NA,NA,NA,NA,NA,NA,NA
WNC,18,WNC18,N,Hidden_Valley,2008-08-19T00:00:00Z,intermediate,riparian,Trifolium,NA,None,Center,444643,4471887,5,3,SE,2854,"lumped_together,_very_difficult_to_distinguish_individuals",NA,NA
WNC,18,WNC18,NA,NA,NA,NA,NA,NA,NA,NA,N,444647,4471890,NA,NA,NA,NA,narrow_riparian_area_surrounded_by_aspen_and_conifer,NA,NA
WNC,18,WNC18,NA,NA,NA,NA,NA,NA,NA,NA,E,444650,4471889,NA,NA,NA,NA,NA,NA,NA
WNC,18,WNC18,NA,NA,NA,NA,NA,NA,NA,NA,S,444649,4471888,NA,NA,NA,NA,NA,NA,NA
WNC,18,WNC18,NA,NA,NA,NA,NA,NA,NA,NA,W,444644,4471890,NA,NA,NA,NA,NA,NA,NA
WNC,19,WNC19,N,Hidden_Valley_East,2008-08-19T00:00:00Z,short_young_short_old,dry_meadow,NA,NA,None,Center,446785,4471587,5,0,F,2733,NA,NA,NA
WNC,19,WNC19,NA,NA,NA,NA,NA,NA,NA,NA,N,446785,4471592,NA,NA,NA,NA,NA,NA,NA
WNC,19,WNC19,NA,NA,NA,NA,NA,NA,NA,NA,E,446787,4471589,NA,NA,NA,NA,NA,NA,NA
WNC,19,WNC19,NA,NA,NA,NA,NA,NA,NA,NA,S,446783,4471586,NA,NA,NA,NA,NA,NA,NA
WNC,19,WNC19,NA,NA,NA,NA,NA,NA,NA,NA,W,446782,4471591,NA,NA,NA,NA,NA,NA,NA
WNC,20,WNC20,N,Hidden_Valley,2008-08-19T00:00:00Z,short_young_short_old,dry_meadow,NA,NA,None,Center,446627,4471624,5,NA,NA,2743,not_much_willow_around_site,NA,NA
WNC,20,WNC20,NA,NA,NA,NA,NA,NA,NA,NA,N,446625,4471630,NA,NA,NA,NA,NA,NA,NA
WNC,20,WNC20,NA,NA,NA,NA,NA,NA,NA,NA,E,446627,4471625,NA,NA,NA,NA,NA,NA,NA
WNC,20,WNC20,NA,NA,NA,NA,NA,NA,NA,NA,S,446625,4471630,NA,NA,NA,NA,NA,NA,NA
WNC,20,WNC20,NA,NA,NA,NA,NA,NA,NA,NA,W,446627,4471627,NA,NA,NA,NA,NA,NA,NA
WNC,21,WNC21,N,Hidden_Valley,2008-08-19T00:00:00Z,tall,riparian,Carex,Cirsium,None,Center,445148,4472376,5,0,F,2807,NA,NA,NA
WNC,21,WNC21,NA,NA,NA,NA,NA,NA,NA,NA,N,445148,4472371,NA,NA,NA,NA,NA,NA,NA
WNC,21,WNC21,NA,NA,NA,NA,NA,NA,NA,NA,E,445140,4472370,NA,NA,NA,NA,NA,NA,NA
