SITE_TYPE,SITE_NUMBER,SITE_ID,LOCATION,DATE,FENCED,DOMINANT_WILLOW_TYPE,ECOSYSTEM_TYPE,PREDOMINANT_HERB_SPECIES_1,PREDOMINANT_HERB_SPECIES_2,BEAVER_PRESENCE,MOOSE_PRESENCE,UTM_E_NAD83,UTM_N_NAD83,GPS_ACCURACY_M,BURNED,BURN_YEAR,BURN_SEVERITY,COMMENTS
WNC,22,WNC22,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_old,Wet_Meadow,Bromus_spp.,NA,Absence_,Browse_scat_tracks,445129,4472436,2,N,NA,NA,All_pins_present._Well_worn_animal_trails_through_center_of_plot_W_pin_directly_on_one._Pins_buried.
WNC,23,WNC23,Hidden_Valley,2018-06-22T00:00:00Z,N,Short_old,Marsh,Bromus_inermis,Carex_spp.,Absence_,Browse_scat_tracks,445244,4472334,6,N,NA,NA,All_pins_present_flush_with_ground.
WNC,24,WNC24,Fishermans_Nook,2018-06-27T00:00:00Z,N,Tall,Riparian_,Bromus_inermis,NA,Absence_,Browse_scat,449263,4465018,3,N,NA,NA,All_pins_present.
WNC,25,WNC25,Fishermans_Nook,2018-06-27T00:00:00Z,N,Tall,Riparian_,Bromus_spp.,NA,Absence_,Scat,449107,4464774,10,N,NA,NA,All_pins_present._Fisherman's_trail_goes_through_center_of_plot.
WNC,26,WNC26,McGraw_Ranch,2018-06-21T00:00:00Z,N,Intermediate,Riparian_,Bromus_inermis,NA,Absence_,Browse,457493,4475421,3,N,NA,NA,All_pins_present.
WNC,27,WNC27,Hollowell_Park,2018-07-13T00:00:00Z,N,Intermediate,Riparian_,Phleum_pratense,NA,Absence_,Browse_tracks,448305,4465588,3,N,NA,NA,"All_pins_present._S_pin_labeled_with_an_""L""."
WNC,28,WNC28,Hollowell_Park,2018-07-12T00:00:00Z,N,Tall,Marsh,Carex_spp.,NA,Absence_,Browse,448220,4465588,3,N,NA,NA,All_pins_present._Plot_next_to_a_large_beaver_pond.
WNC,29,WNC29,McGraw_Ranch,2018-06-21T00:00:00Z,N,Intermediate,Wet_Meadow,Bromus_inermis,NA,Absence_,Browse,458049,4475924,3,N,NA,NA,All_pins_present._Right_off_roadside_on_steep_hill_E_plot_marker_at_base_of_tall_water_birch_tree_on_the_stream_side
WNC,30,WNC30,McGraw_Ranch,2018-07-17T00:00:00Z,N,Tall,Wet_Meadow,Carex_spp.,Calamagrostis_spp._,Absence_,Browse_scat,457799,4475894,3,N,NA,NA,All_pins_present._N_pin_found_but_had_to_reset_E_W_and_S_pins_(part_of_plot_lost_in_the_flood_we_think)._N_pin_is_in_a_patch_of_SAMO_about_4ft_south_of_river._
WNC,31,WNC31,Hidden_Valley,2018-06-22T00:00:00Z,N,Tall,Wet_Meadow,Carex_spp.,Bromus_spp.,Absence_,Browse_scat_tracks,445048,4472406,7,N,NA,NA,All_pins_present._E_and_W_pins_buried.
WNC,32,WNC32,Hollowell_Park,2018-07-19T00:00:00Z,N,Tall,Dry_Meadow_,Poa_spp.,NA,Absence_,Browse,448375,4465632,4,N,NA,NA,All_pins_present._Plot_is_10m_SE_of_old_metal_chimney.
WNC,33,WNC33,Hollowell_Park,2018-07-13T00:00:00Z,N,Tall,Riparian_,Juncus_spp.,Bromus_spp.,Absence_,Browse,448521,4465723,4,N,NA,NA,All_pins_present.
WNC,35,WNC35,McGraw_Ranch,2018-06-21T00:00:00Z,N,Tall,Marsh,Equisetum_spp,NA,Absence_,Browse,457522,4475689,2,N,NA,NA,All_pins_present._Plot_muddy_with_thick_willow_coverage
